name,mainaddressline,postcode,areaname2,areaname1,annual_sales,geometry
CARREFOUR EXPRESS JOSÉ DEL HIERRO,CALLE DE JOSÉ DEL HIERRO 44,28027,MADRID,COMUNIDAD DE MADRID,20.921666994469422,POINT (-3.64536 40.439486)
CARREFOUR EXPRESS AGASTIA,CALLE DE AGASTIA 100,28043,MADRID,COMUNIDAD DE MADRID,26.829726002209327,POINT (-3.656813 40.452775)
CARREFOUR EXPRESS NUÑEZ MORGADO,CALLE DE NÚÑEZ MORGADO 7,28036,MADRID,COMUNIDAD DE MADRID,21.021730040602286,POINT (-3.685512 40.468258)
CARREFOUR EXPRESS CARRANZA 18,CALLE DE MONTELEÓN 18,28010,MADRID,COMUNIDAD DE MADRID,24.58542617887963,POINT (-3.704507700000001 40.4295892)
CARREFOUR EXPRESS DULZAINA,CALLE DE LA DULZAINA 6,28033,MADRID,COMUNIDAD DE MADRID,15.371565036833388,POINT (-3.663417 40.48093400000001)
CARREFOUR EXPRESS GRAVINA,CALLE DE GRAVINA 13,28004,MADRID,COMUNIDAD DE MADRID,17.595032291292828,POINT (-3.697183 40.422907)
CARREFOUR EXPRESS AVENIDA DE GUADALAJARA,CALLE DE FRANCFORT 128,28022,MADRID,COMUNIDAD DE MADRID,12.836419419319911,POINT (-3.6068021 40.4241613)
CARREFOUR EXPRESS ANDRÉS MELLADO,CALLE DE ANDRÉS MELLADO 9,28015,MADRID,COMUNIDAD DE MADRID,23.769262332658954,POINT (-3.714665 40.431432)
CARREFOUR EXPRESS AVENIDA FERROL,AVENIDA DEL FERROL 1,28029,MADRID,COMUNIDAD DE MADRID,20.43290705358607,POINT (-3.703399 40.474415)
CARREFOUR EXPRESS JUAN BRAVO,CALLE DE JUAN BRAVO 34,28006,MADRID,COMUNIDAD DE MADRID,30.754150318187214,POINT (-3.678768 40.432481)
